Title, Release date, Phase, Film/TV, In-universe year
Iron Man, 2008-05-02, 1, Film, 2008
The Incredible Hulk, 2008-06-13, 1, Film, 2009
Iron Man 2, 2010-04-30, 1, Film, 2009
Thor, 2011-04-27, 1, Film, 2009
Captain America: The First Avenger, 2011-07-29, 1, Film, 1942-1945
The Avengers, 2012-04-26, 1, Film, 2010
Iron Man 3, 2013-04-25, 2, Film, 2013
Agents of S.H.I.E.L.D. (Season 1), 2013-09-24, 2, TV, 2014
Thor: The Dark World, 2013-11-08, 2, Film, 2014
Captain America: The Winter Soldier, 2014-03-26, 2, Film, 2014
Guardians of the Galaxy, 2014-07-31, 2, Film, 2014
Agents of S.H.I.E.L.D. (Season 2), 2014-09-23, 2, TV, 2015
Agent Carter (Season 1), 2015-01-06, 2, TV, 1946
Daredevil (Season 1), 2015-04-10, 2, TV (Netflix), 2015
Avengers: Age of Ultron, 2015-04-23, 2, Film, 2015
Ant-Man, 2015-07-08, 2, Film, 2015
Agents of S.H.I.E.L.D. (Season 3), 2015-09-29, 2, TV, 2016-2017
Jessica Jones (Season 1), 2015-11-20, 2, TV (Netflix), 2015
Agent Carter (Season 2), 2016-01-19, 2, TV, 1946
Daredevil (Season 2), 2016-03-18, 2, TV (Netflix), 2016
Captain America: Civil War, 2016-04-29, 3, Film, 2017
Agents of S.H.E.I.L.D (Season 4), 2016-09-20, 3, TV, 2018
Luke Cage (Season 1), 2016-09-30, 3, TV (Netflix), 2016
Doctor Strange, 2016-10-28, 3, Film, 2016
Agents of S.H.I.E.L.D.: Slingshot, 2016-12-13, 3, TV (Online), 2017
Iron Fist (Season 1), 2017-03-17, 3, TV (Netflix), 2017
Guardians of the Galaxy Vol. 2, 2017-04-28, 3, Film, 2014
Spider-Man: Homecoming, 2017-07-07, 3, Film, 2017
The Defenders (Season 1), 2017-08-18, 3, TV (Netflix), 2017
Inhumans (Season 1), 2017-09-29, 3, TV, 2017
Thor: Ragnarok, 2017-10-27, 3, Film, 2017
The Punisher (Season 1), 2017-11-17, 3, TV (Netflix), 2017
Runaways (Season 1), 2017-11-21, 3, TV, 2017?
Agents of S.H.E.I.L.D (Season 5), 2017-12-01, 3, TV, 2091/2018
Black Panther, 2018-02-09, 3, Film, 2017
Jessica Jones (Season 2), 2018-03-08, 3, TV (Netflix),
Avengers: Infinity War – Part 1, 2018-05-04, 3, Film, 2018
Cloak and Dagger (Season 1), 2018-06-07, 3, TV,
Luke Cage (Season 2), 2018-06-22, 3, TV (Netflix),
Ant-Man and the Wasp, 2018-08-03, 3, Film, 2018
Iron Fist (Season 2),2018-09-07, 3, TV (Netflix),
Daredevil (Season 3), 2018-10-19, 3, TV (Netflix),
Runaways (Season 2), 2018-12-21, 3, TV, 2017
The Punisher (Season 2), 2019-01-18,, TV (Netflix),
Captain Marvel, 2019-03-08, 3, Film, 1995
Cloak and Dagger (Season 2), 2019-04-04, 3, TV,
Avengers: Endgame, 2019-04-25, 3, Film, 2023
Agents of S.H.E.I.L.D (Season 6), 2019-05-10, 3, TV,
Spider-Man: Far From Home, 2019-07-05, 4, Film,
Jessica Jones (Season 3), 2019,, TV (Netflix),
Marvel’s Hero Project, 2019-11-19,, TV (Disney+),
Untitled film, 2020-05-01, 4, Film,
Untitled film, 2020-07-10, 4, Film,
Agents of S.H.E.I.L.D (Season 7),, , TV,
Guardians of the Galaxy Vol. 3, 2020, 4, Film,
Untitled film, 2020-11-06, 4, Film,
New Warriors (Season 1),, , TV,
Untitled Black Widow film,,,Film,
Damage Control (Season 1),,, TV,
Loki, 2020–2021,, TV (Disney+), 
WandaVision, 2020–2021,, TV (Disney+), 
Marvel's What If...?, 2019–2020,, TV (Disney+),
The Falcon and the Winter Soldier, 2019–2020,, TV (Disney+),
Untitled Hawkeye series,,, TV (Disney+),